Geo Point;Geo Shape;insee;ident;nom;exploit;siret;infor;adresse;ta_titul;ta_ntitul;th_quar;th_demi;th_heur;th_2;th_3;th_4;th_10;th_24;th_nuit;ta_resmoi;ta_nres7j;ta_moimot;ta_moivel;ta_type;ta_handi;tv_1h;an_serv;secteur;propr;typgest;type;nb_niv;gabari_std;gabari_max;np_hginf;np_hgsup;np_global;np_fourr;np_pr;np_total;np_pmr;np_vle;np_covoit;np_mobalt;np_stlav;np_2rmot;np_2rele;np_veltot;np_velec;url;titul;etat;total;libres;prepaye;connecte;mdate;cdate;gid
44.8330679, -0.5978106;"{""coordinates"": [-0.5978106, 44.8330679], ""type"": ""Point""}";33063;CUBPK35;Porte De Bordeaux;METPARK;453 335 069 00010;Vélos: 50€/an ou 10€/mois;48 rue du Général Larminat 33000 Bordeaux;;;0.7;1.4;2.8;5.6;8.4;10.8;22.0;22.0;7.0;70.0;105.0;;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;1992;CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;4;1.8;1.8;0;0;704;0;0;704;9;0;0;0;0;6;0;14;0;https://www.mtpk.fr/;METPARK;LIBRE;344;93;0.0;1;2026-03-30T12:31:50+00:00;2018-06-01T00:00:00+00:00;231
44.8451627, -0.5787155;"{""coordinates"": [-0.5787155, 44.8451627], ""type"": ""Point""}";33063;CUBPK32;Lhote;METPARK;453 335 069 00010;"Résidents seulement; Vélos: 50€/an ou 10€/mois";Rue Lhote 33000 Bordeaux;;;;;;;;;;;;80.0;125.0;45.0;10.0;PAYANT_RESERVE_ABONNES;NORMAL_PAYANT;2.5;2004;HYPER_CENTRE;BORDEAUX_METROPOLE;REGIE_AUTONOME;SILO;4;1.8;1.8;0;0;111;0;0;111;3;0;0;0;0;0;0;32;0;https://www.mtpk.fr/;METPARK;OUVERT;;;0.0;0;2026-02-12T15:27:16+00:00;2018-06-01T00:00:00+00:00;242
44.868649, -0.5636551;"{""coordinates"": [-0.5636551, 44.868649], ""type"": ""Point""}";33063;CUBPK103;Les Bassins;INDIGO;320 229 644 05241;;29 rue Lucien Faure 33100 Bordeaux;;;0.7;1.4;2.8;5.6;8.4;11.2;21.0;28.0;21.0;;130.0;65.0;0.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2021;CENTRE;AUTRE;GESTION_PRIVEE;SILO;5;1.85;1.85;0;0;424;0;0;424;15;3;0;0;0;0;0;56;0;https://fr.parkindigo.com/parking/bordeaux-33300/les-bassins-33001700;INDIGO;LIBRE;274;142;0.0;0;2026-03-18T04:00:42+00:00;2021-06-16T15:24:34+00:00;743
44.8628438, -0.5556869;"{""coordinates"": [-0.5556869, 44.8628438], ""type"": ""Point""}";33063;CUBPK100;Bassins A Flots;EFFIA_STATIONNEMENT;435 272 596 01814;"vélos acceptés de 8h30 à 20h00; Propriétaire SCI Bordeaux Port Immo";1 quai Armand Lalande Bat G1 33000 Bordeaux;;;0.7;1.4;2.8;5.2;7.6;9.6;20.4;24.8;;130.0;130.0;65.0;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2020;CENTRE;AUTRE;GESTION_PRIVEE;SILO;3;2.0;2.0;0;0;536;0;0;536;12;10;0;0;0;10;0;100;0;https://www.effia.com/parking/parking-bordeaux-bassins-flot-effia;AUTRE;LIBRE;250;220;0.0;1;2026-03-30T12:32:00+00:00;2020-10-21T15:02:22+00:00;663
44.8426599, -0.6476843;"{""coordinates"": [-0.6476843, 44.8426599], ""type"": ""Point""}";33281;CUBPK39;Merignac Centre;METPARK;453 335 069 00010;Vélos: 50€/an ou 10€/mois. 1h gratuite semaine +samedi 8 à 13h gratuit. Parc mixte avec places P+R abonnés;Place Charles de Gaulle 33700 Merignac;0.0;;0.0;0.0;2.4;4.8;7.2;9.0;9.0;9.0;;50.0;70.0;30.0;10.0;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;1985;PERIPHERIE;BORDEAUX_METROPOLE;REGIE_AUTONOME;ENTERRE;3;1.8;1.8;0;0;274;0;100;274;5;47;0;0;0;20;0;84;16;https://www.mtpk.fr/;METPARK;LIBRE;285;195;0.0;1;2026-03-30T12:32:01+00:00;2018-06-01T00:00:00+00:00;266
44.8197814, -0.5613722;"{""coordinates"": [-0.5613722, 44.8197814], ""type"": ""Point""}";33063;CUBPK109;Amedee St Germain;METPARK;453 335 069 00010;ouverture le 13/10/22;3 rue des Echoppes 33800 Bordeaux;;;0.7;1.4;2.8;5.6;8.4;10.8;22.0;22.0;7.0;80.0;105.0;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;1.8;2022;CENTRE;METPARK;REGIE_AUTONOME;MIXTE;3;2.0;2.0;0;0;632;0;0;632;6;116;0;0;0;0;0;0;0;https://www.mtpk.fr/;METPARK;LIBRE;639;320;0.0;1;2026-03-30T12:31:53+00:00;2022-03-21T09:18:59+00:00;1583
44.8591928, -0.5430609;"{""coordinates"": [-0.5430609, 44.8591928], ""type"": ""Point""}";33063;CUBPK117;Parking Brazza Yespark;AUTRE;80155849500058;Réservation obligatoire via Yespark, 1h minimum;rue Marianne, 33100 Bordeaux Bastide;;;;;1.5;3.0;4.5;6.0;17.0;18.0;;63.0;63.0;;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;0.0;2023;CENTRE;AUTRE;GESTION_PRIVEE;SILO;4;1.9;1.9;0;0;444;0;0;444;14;6;0;0;0;0;;;;https://www.yespark.fr/parkings/42112-bordeaux-brazza;AUTRE;OUVERT;;;0.0;0;2025-09-15T07:05:00+00:00;2025-09-04T11:36:18+00:00;2053
44.8238279, -0.5302056;"{""coordinates"": [-0.5302056, 44.8238279], ""type"": ""Point""}";33167;CUBPK116;Parc Relais Arena Floirac;KEOLIS;;400 places Parc-relais dans le parking Arena Metpark.;;0.0;4.5;;;;;;;;;;;;;;PAYANT_TARIF_PARC_RELAIS;NORMAL_PAYANT;;;PERIPHERIE;;;SILO;;;;;;;;;;;;;;;;;;;;METPARK;OUVERT;;;0.0;0;2026-01-12T10:59:14+00:00;2025-03-19T13:15:44+00:00;2003
44.8050626, -0.6322347;"{""coordinates"": [-0.6322347, 44.8050626], ""type"": ""Point""}";33318;CUBPK117;Parc Relais Pessac Centre, Mixte;KEOLIS;;80 places parc relais posibles dans le parking Metpark;;;;;;;;;;;;;;;;;PAYANT_TARIF_PARC_RELAIS;NORMAL_PAYANT;;;PERIPHERIE;BORDEAUX_METROPOLE;DELEGATION_DE_SERVICE_PUBLIC_POUR_BORDEAUX_METROPOLE;;;;;;;;;;;;;;;;;;;;;METPARK;OUVERT;;;0.0;0;2026-03-16T15:15:36+00:00;2026-01-12T10:54:38+00:00;2113
44.8423537, -0.5798571;"{""coordinates"": [-0.5798571, 44.8423537], ""type"": ""Point""}";33063;CUBPK15;Clemenceau;Q_PARK;37888823401562;;Cours Georges Clemenceau 33000 Bordeaux;;;0.8;1.6;3.6;7.4;11.1;14.5;29.0;38.2;;212.0;122.0;53.0;;PAYANT_TARIF_HORAIRE;NORMAL_PAYANT;2.5;2014;HYPER_CENTRE;Q_PARK;GESTION_PRIVEE;ENTERRE;7;1.9;1.9;0;0;379;0;0;379;7;20;0;0;2;18;0;0;0;https://www.q-park.fr/fr-fr/villes/bordeaux/clémenceau-auditorium/;Q_PARK;LIBRE;379;257;0.0;1;2026-03-30T12:29:47+00:00;2018-06-01T00:00:00+00:00;246
