code_commune,nb_parkings_publics,nb_places_total,nb_parkings_gratuits,tarif_1h_moyen,tarif_24h_moyen,abo_resident_moyen
69046,1,11,0,,,40.0
69069,1,11,0,,,50.0
69089,1,11,0,,,95.0
69123,114,18510,0,2.44,19.67,82.48
69133,1,11,0,,,30.0
69149,1,11,0,,,60.0
69194,1,11,0,,,40.0
69202,1,11,0,,,40.0
69204,2,22,0,,,37.5
69244,1,11,0,,,58.0
69256,1,11,0,,,30.0
69259,7,77,0,,,48.29
69266,10,468,0,2.2,,66.52
69275,2,22,0,,,52.0
69276,3,33,0,,,61.67
69278,1,11,0,,,40.0
69282,1,11,0,,,40.0
69290,2,22,0,,,50.0
69299,1,1968,0,,26.0,
73065,16,3725,0,1.86,18.02,67.58
74094,1,250,1,0.0,0.0,0.0
75101,7,4407,0,4.71,41.6,190.4
75102,1,896,0,4.8,39.6,228.32
75103,1,545,0,4.8,43.2,
75104,5,2225,0,4.48,39.96,200.75
75105,8,2825,0,4.55,40.95,223.0
75106,8,2431,0,4.93,41.28,262.67
75107,10,5459,0,4.67,39.71,215.07
75108,13,11305,0,4.73,41.08,204.71
75109,3,603,0,4.0,36.0,165.0
75110,7,2353,0,4.47,35.7,122.6
75111,1,292,0,,,
75112,12,5090,0,4.0,34.44,135.75
75113,7,4208,0,3.76,33.84,138.37
75114,6,2662,0,4.2,34.38,110.0
75115,6,1734,0,4.23,39.63,174.85
75116,17,8728,0,4.57,40.36,182.75
75117,17,8606,0,4.34,38.98,168.78
75118,3,755,0,3.4,24.0,88.8
75119,3,924,0,3.65,23.1,
77144,1,722,0,1.6,7.3,
77360,2,334,0,0.85,19.45,
78400,2,500,0,2.02,21.45,38.0
83004,4,376,4,,,
86194,8,3311,0,1.83,16.43,
87085,8,3479,0,1.29,10.71,58.75
90010,10,1589,1,,,
92012,11,4626,0,,,
92022,6,295,3,,,
92040,5,1143,0,,,
92048,7,306,0,,,
92072,10,975,0,,,
92075,3,211,0,,,
92077,7,358,3,,,
94000,1,596,0,2.0,12.8,
94080,1,598,0,1.65,14.85,
94340,1,45,0,1.1,35.0,214.0
