code_commune,libelle_commune,menages_motorises,menages_total,taux_motorisation
40327,Vielle-Soubiran,100.9620379026014,103.927714747299,97.14640425616142
2B086,Centuri,78.60846560846561,91.8677248677249,85.56701030927832
02328,Fossoy,215.5330236929752,229.339378857341,93.97994568871928
31086,Bouzin,35.8977272727273,37.7386363636363,95.12195121951244
30221,Roquemaure,2218.18050778404,2429.41394183893,91.30516910201816
82017,Bessens,528.0809470226831,553.499626319851,95.40764291636953
29008,Beuzec-Cap-Sizun,477.0,492.0,96.95121951219512
27184,Crasville,47.8145161290323,52.6935483870968,90.74074074074078
79150,Limalonges,351.0,375.0,93.6
81103,Gijounet,60.4695652173912,62.591304347826,96.6101694915254
71457,Saint-Martin-en-Gâtinois,54.4537815126052,56.4705882352942,96.42857142857156
14563,Saint-Benoît-d'Hébertot,170.59770348207851,174.877439494347,97.55272262411708
73088,Cohennoz,81.0,82.0,98.78048780487804
40298,Serres-Gaston,163.9913279300389,171.008328467815,95.89669076316552
70486,Semmadon,44.2285714285715,49.3714285714286,89.58333333333341
61301,Neauphe-sous-Essai,84.79245283018861,89.8396226415094,94.38202247191008
60332,Labruyère,209.9213662821108,214.590820462746,97.82401960598038
63097,Chassagne,34.8607594936708,38.9620253164556,89.4736842105263
79059,Le Busseau,307.07963860704297,328.043390762356,93.6094575456636
08088,Bulson,52.2428571428572,55.2,94.64285714285724
2A285,Sorbollano,35.0,37.0,94.5945945945946
34243,Saint-Bauzille-de-Putois,799.802128433349,873.573802270779,91.55518702075692
62124,Beutin,162.96282319132422,169.139633530612,96.34809996311724
27071,Le Bois-Hellain,86.93023255813961,88.8837209302326,97.80219780219784
91330,Lardy,2114.095885382,2303.06426048339,91.7949152203974
81192,Murat-sur-Vèbre,348.687299324552,368.116819212442,94.72191465484843
81277,Saussenac,239.2583711498475,244.987448729695,97.66148118625922
81145,Lisle-sur-Tarn,2012.31523956496,2207.92178937168,91.14069389829316
32341,Réjaumont,99.6691581171887,100.692924091912,98.9832791291384
67359,Ohlungen,542.7699632210711,563.278445645849,96.35908624174974
52042,Beauchemin,42.0,43.0,97.67441860465117
37254,Tauxigny-Saint-Bauld,643.0,658.0,97.72036474164132
42281,Saint-Rirand,62.5563909774436,68.4210526315789,91.42857142857147
54557,Bois-de-Haye,854.914501393705,875.043067541971,97.69970566079589
02049,Barisis-aux-Bois,294.22514460648,312.763700885106,94.07266373106508
07299,Saint-Symphorien-de-Mahun,55.0,60.0,91.66666666666669
2A198,Ota,208.0,239.0,87.02928870292887
76195,Criquetot-le-Mauconduit,72.0,73.0,98.63013698630137
08040,Les Ayvelles,336.0,355.0,94.64788732394366
91534,Saclay,1525.730505316088,1603.75593134044,95.13483164741052
25344,Longevelle-lès-Russey,21.62162162162156,21.6216216216216,99.99999999999984
69004,Alix,253.46822611951552,269.776913693573,93.95475048225153
15196,Saint-Mamet-la-Salvetat,657.211562505126,697.980424482674,94.15902501739
73329,Voglans,809.0,845.0,95.7396449704142
33156,Escoussans,115.768545329132,120.487049129704,96.08380831412632
54007,Aingeray,207.49055006549253,216.202821750323,95.97032470978031
27546,Saint-Germain-des-Angles,75.5581395348837,76.5523255813954,98.7012987012986
45100,Combleux,224.2404952821749,234.796964118072,95.50400113751532
66226,Villemolaque,555.0,575.0,96.52173913043478
02091,Blanzy-lès-Fismes,37.3578947368421,38.3157894736842,97.5
68279,Roderen,357.136574723563,377.794631519283,94.53193479413814
43017,Azérat,129.6378519895442,133.500693028405,97.10650113401366
71165,Cussy-en-Morvan,179.29480066441408,193.951632616084,92.4430479114954
19003,Albignac,105.14440077072312,111.32887397134,94.44486144519075
17301,Romazières,39.6555555555555,40.5777777777778,97.72727272727256
57640,Schwerdorff,197.4419865201242,203.519112096063,97.01397794371748
2A024,Aullène,77.3101604278075,89.0534759358289,86.81318681318682
62307,Escalles,99.3439040986149,106.69287048052,93.11203611937044
21631,Thomirey,26.0,27.0,96.29629629629628
76320,Grandcourt,126.0,141.0,89.36170212765957
25271,Gilley,734.275447404651,766.765199113255,95.76275087260385
14731,Vauville,92.6039603960396,93.5891089108911,98.94736842105262
76250,Étainhus,451.521967695423,464.108241665315,97.28807359146867
61411,Saint-Jouin-de-Blavou,131.0,141.0,92.90780141843972
17440,Ternant,188.5734218121539,201.92462624145,93.38802568175538
61400,Saint-Gervais-du-Perron,143.0,147.0,97.27891156462584
78368,Mareil-sur-Mauldre,638.916943946621,655.357842364422,97.49130973111042
16242,Nanteuil-en-Vallée,584.491374476559,650.630394598677,89.8346249005299
